,MVT_GT_Milwaukee WI
2017-01-01,78.0
2017-01-08,35.0
2017-02-05,43.0
2017-02-26,80.0
2017-04-30,40.0
2017-05-14,50.0
2017-05-28,64.0
2017-07-16,25.0
2017-07-23,30.0
2017-09-10,32.0
2017-09-24,83.0
2017-10-01,26.0
2017-11-05,19.0
2017-11-12,67.0
2017-12-03,29.0
2017-12-10,29.0
2017-12-24,36.0
2017-12-31,31.0
2018-02-25,53.0
2018-03-04,36.0
2018-04-08,23.0
2018-04-15,35.0
2018-04-22,43.0
2018-04-29,21.0
2018-05-13,21.0
2018-05-27,63.0
2018-06-17,40.0
2018-06-24,30.0
2018-07-01,45.0
2018-08-05,49.0
2018-08-12,48.0
2018-08-19,26.0
2018-08-26,36.0
2018-09-02,58.0
2018-09-16,22.0
2018-12-16,39.0
2019-01-13,36.0
2019-01-27,36.0
2019-04-21,51.0
2019-05-05,27.0
2019-05-12,41.0
2019-05-26,22.0
2019-06-23,40.0
2019-06-30,40.0
2019-07-21,28.0
2019-08-04,41.0
2019-09-08,44.0
2019-10-13,35.0
2019-10-20,54.0
2019-10-27,27.0
2019-11-17,17.0
2019-12-01,33.0
2020-01-19,20.0
2020-02-02,15.0
2020-02-23,17.0
2020-03-22,64.0
2020-04-12,17.0
2020-05-03,27.0
2020-05-17,22.0
2020-07-05,37.0
2020-07-26,19.0
2020-08-16,32.0
2020-11-01,15.0
2020-11-15,37.0
2020-11-29,33.0
2020-12-13,20.0
2021-01-24,22.0
2021-01-31,73.0
2021-02-14,23.0
2021-03-28,76.0
2021-04-11,28.0
2021-05-09,30.0
2021-05-16,19.0
2021-06-13,17.0
2021-06-20,45.0
2021-07-04,35.0
2021-07-25,44.0
2021-08-01,22.0
2021-08-15,19.0
2021-08-29,22.0
2021-09-05,23.0
2021-09-26,30.0
2021-10-03,20.0
2021-10-10,26.0
2021-10-24,100.0
2021-11-07,29.0
2021-11-14,39.0
2021-12-05,34.0
2022-01-09,28.0
2022-01-16,44.0
2022-01-23,23.0
2022-01-30,20.0
2022-02-27,17.0
2022-03-13,33.0
2022-03-27,34.0
2022-04-03,36.0
2022-04-17,24.0
2022-04-24,27.0
2022-05-29,20.0
2022-06-05,40.0
2022-06-26,23.0
2022-07-10,59.0
2022-07-17,17.0
2022-07-31,43.0
2022-08-07,21.0
2022-08-21,25.0
2022-09-11,20.0
2022-09-18,42.0
2022-10-09,48.0
2022-10-30,78.0
2022-11-06,17.0
2022-12-25,23.0
