,MVT_GT_Boston MA-Manchester NH
2017-01-08,34.0
2017-01-22,43.0
2017-02-05,26.0
2017-02-12,15.0
2017-02-26,12.0
2017-03-05,23.0
2017-03-19,15.0
2017-03-26,28.0
2017-04-02,17.0
2017-04-16,18.0
2017-04-23,28.0
2017-04-30,37.0
2017-05-07,42.0
2017-05-14,18.0
2017-05-28,78.0
2017-06-11,16.0
2017-06-18,25.0
2017-07-02,22.0
2017-07-09,64.0
2017-07-16,38.0
2017-07-23,54.0
2017-07-30,25.0
2017-08-13,31.0
2017-08-20,36.0
2017-08-27,35.0
2017-09-03,15.0
2017-09-10,32.0
2017-10-01,34.0
2017-10-15,16.0
2017-11-05,42.0
2017-11-12,43.0
2017-11-19,29.0
2017-11-26,24.0
2017-12-10,14.0
2017-12-31,23.0
2018-02-11,22.0
2018-02-25,14.0
2018-03-04,24.0
2018-03-11,47.0
2018-03-18,13.0
2018-03-25,20.0
2018-04-01,21.0
2018-04-08,43.0
2018-05-06,40.0
2018-05-13,19.0
2018-05-27,33.0
2018-06-24,18.0
2018-07-01,35.0
2018-07-08,26.0
2018-07-15,20.0
2018-07-22,29.0
2018-07-29,22.0
2018-08-12,22.0
2018-08-19,30.0
2018-09-02,57.0
2018-09-09,40.0
2018-09-23,20.0
2018-10-14,42.0
2018-10-28,30.0
2018-12-09,19.0
2018-12-23,39.0
2019-01-06,23.0
2019-01-20,27.0
2019-01-27,27.0
2019-02-03,13.0
2019-02-10,50.0
2019-02-24,54.0
2019-03-03,44.0
2019-03-10,17.0
2019-04-07,35.0
2019-04-14,14.0
2019-04-21,20.0
2019-05-12,35.0
2019-06-02,16.0
2019-06-16,30.0
2019-06-23,24.0
2019-07-14,30.0
2019-07-28,25.0
2019-08-18,21.0
2019-08-25,21.0
2019-09-01,17.0
2019-09-22,15.0
2019-09-29,38.0
2019-10-06,16.0
2019-10-13,53.0
2019-10-20,31.0
2019-11-17,43.0
2019-11-24,14.0
2019-12-01,64.0
2019-12-08,22.0
2019-12-15,57.0
2019-12-22,28.0
2020-01-12,48.0
2020-01-26,29.0
2020-02-02,15.0
2020-02-09,39.0
2020-02-16,30.0
2020-02-23,25.0
2020-03-01,19.0
2020-03-08,19.0
2020-03-29,29.0
2020-04-05,23.0
2020-04-12,55.0
2020-04-26,29.0
2020-05-03,32.0
2020-05-10,19.0
2020-05-31,34.0
2020-06-14,29.0
2020-06-21,55.0
2020-07-05,17.0
2020-07-12,58.0
2020-08-02,40.0
2020-08-09,14.0
2020-08-16,23.0
2020-08-23,47.0
2020-08-30,27.0
2020-09-06,17.0
2020-09-20,13.0
2020-09-27,37.0
2020-10-11,33.0
2020-10-18,24.0
2020-10-25,25.0
2020-11-08,16.0
2020-11-15,14.0
2020-11-29,22.0
2020-12-06,13.0
2020-12-13,38.0
2021-01-17,19.0
2021-01-24,85.0
2021-02-28,23.0
2021-03-14,23.0
2021-03-21,100.0
2021-04-04,24.0
2021-04-11,43.0
2021-04-18,28.0
2021-04-25,19.0
2021-05-02,33.0
2021-05-16,17.0
2021-05-23,72.0
2021-05-30,46.0
2021-07-04,28.0
2021-07-11,27.0
2021-08-08,18.0
2021-08-15,15.0
2021-09-05,27.0
2021-09-12,29.0
2021-09-19,20.0
2021-10-31,16.0
2021-11-21,28.0
2021-11-28,34.0
2021-12-12,44.0
2021-12-19,31.0
2021-12-26,15.0
2022-01-09,30.0
2022-01-23,20.0
2022-02-06,22.0
2022-02-20,29.0
2022-02-27,22.0
2022-03-13,28.0
2022-03-20,30.0
2022-03-27,27.0
2022-04-03,20.0
2022-04-10,23.0
2022-04-17,20.0
2022-04-24,22.0
2022-05-01,24.0
2022-05-08,31.0
2022-05-15,17.0
2022-05-22,24.0
2022-05-29,13.0
2022-06-05,18.0
2022-06-12,45.0
2022-06-19,32.0
2022-06-26,15.0
2022-07-03,26.0
2022-07-10,14.0
2022-07-17,53.0
2022-07-24,41.0
2022-07-31,24.0
2022-08-07,22.0
2022-08-21,57.0
2022-08-28,16.0
2022-09-04,15.0
2022-09-11,54.0
2022-10-02,28.0
2022-10-09,22.0
2022-10-16,25.0
2022-10-23,64.0
2022-10-30,17.0
2022-11-06,30.0
2022-11-13,20.0
2022-11-27,42.0
2022-12-04,12.0
2022-12-11,25.0
