,MVT_GT_Denver CO
2017-01-01,52.0
2017-01-15,16.0
2017-01-22,30.0
2017-02-26,24.0
2017-04-09,17.0
2017-04-23,26.0
2017-05-14,20.0
2017-05-21,16.0
2017-05-28,54.0
2017-06-11,24.0
2017-06-18,33.0
2017-07-02,25.0
2017-08-20,17.0
2017-08-27,19.0
2017-09-03,54.0
2017-09-17,21.0
2017-10-22,25.0
2017-10-29,25.0
2017-11-05,34.0
2017-12-03,23.0
2017-12-10,65.0
2017-12-31,15.0
2018-01-07,48.0
2018-01-14,52.0
2018-01-21,35.0
2018-01-28,36.0
2018-03-04,12.0
2018-03-18,17.0
2018-04-01,39.0
2018-04-08,24.0
2018-04-15,16.0
2018-04-22,34.0
2018-04-29,25.0
2018-05-13,19.0
2018-05-20,21.0
2018-06-03,17.0
2018-06-10,18.0
2018-06-17,29.0
2018-07-29,31.0
2018-08-05,32.0
2018-08-12,28.0
2018-08-26,20.0
2018-09-09,18.0
2018-09-16,20.0
2018-09-23,14.0
2018-10-07,19.0
2018-10-14,26.0
2018-10-21,28.0
2018-10-28,44.0
2018-11-11,24.0
2018-11-18,25.0
2018-11-25,51.0
2018-12-02,17.0
2018-12-09,15.0
2018-12-23,29.0
2018-12-30,30.0
2019-01-06,26.0
2019-01-20,24.0
2019-01-27,53.0
2019-02-03,26.0
2019-02-10,23.0
2019-02-17,33.0
2019-02-24,27.0
2019-03-03,12.0
2019-03-10,27.0
2019-03-17,33.0
2019-03-24,23.0
2019-04-07,57.0
2019-04-28,40.0
2019-05-12,26.0
2019-05-19,37.0
2019-06-02,17.0
2019-06-09,32.0
2019-06-16,25.0
2019-06-23,15.0
2019-06-30,21.0
2019-07-14,28.0
2019-07-28,25.0
2019-08-11,15.0
2019-08-18,24.0
2019-09-15,16.0
2019-09-29,25.0
2019-10-06,17.0
2019-10-13,32.0
2019-10-20,16.0
2019-10-27,25.0
2019-11-10,30.0
2019-12-01,39.0
2019-12-08,23.0
2019-12-15,30.0
2019-12-29,21.0
2020-01-05,39.0
2020-01-12,35.0
2020-01-26,47.0
2020-02-16,17.0
2020-02-23,20.0
2020-03-01,24.0
2020-03-08,12.0
2020-03-22,15.0
2020-04-05,26.0
2020-04-19,20.0
2020-04-26,19.0
2020-05-03,25.0
2020-05-10,25.0
2020-05-17,40.0
2020-05-31,16.0
2020-06-14,19.0
2020-06-21,30.0
2020-06-28,33.0
2020-07-05,29.0
2020-07-12,46.0
2020-07-19,36.0
2020-07-26,15.0
2020-08-16,10.0
2020-08-30,16.0
2020-09-06,26.0
2020-09-13,27.0
2020-09-20,12.0
2020-10-11,13.0
2020-10-18,68.0
2020-10-25,19.0
2020-11-01,31.0
2020-11-08,17.0
2020-11-22,21.0
2020-12-06,16.0
2020-12-13,38.0
2020-12-20,13.0
2020-12-27,26.0
2021-01-03,50.0
2021-01-10,46.0
2021-01-17,37.0
2021-01-24,37.0
2021-01-31,51.0
2021-02-14,55.0
2021-03-07,63.0
2021-03-21,20.0
2021-03-28,27.0
2021-04-11,17.0
2021-04-18,40.0
2021-05-02,13.0
2021-05-09,26.0
2021-05-16,33.0
2021-05-23,14.0
2021-05-30,33.0
2021-06-06,43.0
2021-06-13,28.0
2021-06-20,16.0
2021-06-27,59.0
2021-07-04,48.0
2021-07-18,58.0
2021-07-25,49.0
2021-08-01,17.0
2021-08-08,39.0
2021-08-22,23.0
2021-09-05,21.0
2021-09-12,33.0
2021-09-26,15.0
2021-10-03,44.0
2021-10-10,76.0
2021-10-31,34.0
2021-11-07,100.0
2021-11-14,24.0
2021-11-21,54.0
2021-11-28,16.0
2021-12-26,30.0
2022-01-02,54.0
2022-01-09,47.0
2022-01-16,35.0
2022-01-23,56.0
2022-02-06,54.0
2022-02-13,25.0
2022-02-20,19.0
2022-02-27,44.0
2022-03-06,59.0
2022-03-13,41.0
2022-03-20,30.0
2022-03-27,24.0
2022-04-03,9.0
2022-04-10,47.0
2022-04-17,29.0
2022-04-24,27.0
2022-05-01,23.0
2022-05-08,31.0
2022-05-15,37.0
2022-05-22,32.0
2022-05-29,14.0
2022-06-05,32.0
2022-06-12,29.0
2022-06-19,50.0
2022-06-26,45.0
2022-07-03,32.0
2022-07-10,31.0
2022-07-17,26.0
2022-07-24,33.0
2022-07-31,47.0
2022-08-07,47.0
2022-08-14,60.0
2022-08-21,28.0
2022-08-28,15.0
2022-09-04,50.0
2022-09-11,28.0
2022-09-18,27.0
2022-09-25,50.0
2022-10-02,60.0
2022-10-09,27.0
2022-10-16,43.0
2022-10-23,64.0
2022-10-30,57.0
2022-11-06,37.0
2022-11-13,37.0
2022-11-20,30.0
2022-11-27,29.0
2022-12-04,27.0
2022-12-11,27.0
2022-12-18,40.0
2022-12-25,25.0
