,MVT_GT_Sacramento-Stockton-Modesto CA
2017-01-08,59.0
2017-01-22,20.0
2017-02-19,40.0
2017-02-26,73.0
2017-03-05,57.0
2017-03-12,54.0
2017-03-19,60.0
2017-03-26,38.0
2017-04-02,72.0
2017-04-16,40.0
2017-04-30,23.0
2017-05-14,38.0
2017-05-21,42.0
2017-06-04,84.0
2017-07-02,21.0
2017-07-09,48.0
2017-07-16,24.0
2017-07-30,69.0
2017-08-06,33.0
2017-08-27,30.0
2017-09-03,38.0
2017-10-01,38.0
2017-10-22,49.0
2017-11-12,39.0
2017-11-19,44.0
2017-11-26,38.0
2017-12-17,29.0
2017-12-31,39.0
2018-01-07,21.0
2018-01-14,38.0
2018-02-04,57.0
2018-02-11,45.0
2018-02-18,21.0
2018-03-04,20.0
2018-04-08,74.0
2018-04-15,40.0
2018-04-29,41.0
2018-05-13,34.0
2018-05-20,61.0
2018-06-03,99.0
2018-06-10,31.0
2018-06-17,24.0
2018-06-24,21.0
2018-07-01,30.0
2018-07-29,28.0
2018-08-05,20.0
2018-08-19,17.0
2018-08-26,44.0
2018-09-02,68.0
2018-09-09,31.0
2018-09-23,45.0
2018-09-30,65.0
2018-10-07,50.0
2018-10-21,85.0
2018-10-28,25.0
2018-11-04,38.0
2018-11-11,38.0
2018-11-25,80.0
2018-12-02,45.0
2018-12-09,68.0
2018-12-16,32.0
2018-12-30,29.0
2019-01-06,20.0
2019-01-13,16.0
2019-01-20,41.0
2019-02-03,18.0
2019-02-10,17.0
2019-02-17,20.0
2019-02-24,40.0
2019-03-03,38.0
2019-03-10,32.0
2019-03-17,23.0
2019-03-31,33.0
2019-04-21,55.0
2019-04-28,31.0
2019-05-19,42.0
2019-05-26,25.0
2019-06-09,28.0
2019-06-16,28.0
2019-06-23,42.0
2019-07-07,60.0
2019-07-14,39.0
2019-07-21,29.0
2019-07-28,34.0
2019-08-04,24.0
2019-08-11,31.0
2019-08-18,57.0
2019-09-08,58.0
2019-09-15,90.0
2019-09-29,42.0
2019-10-06,23.0
2019-10-13,58.0
2019-10-20,28.0
2019-11-03,37.0
2019-11-10,37.0
2019-12-15,29.0
2019-12-29,48.0
2020-01-05,24.0
2020-01-12,18.0
2020-01-19,21.0
2020-01-26,21.0
2020-02-02,76.0
2020-02-09,32.0
2020-02-16,58.0
2020-02-23,36.0
2020-03-08,22.0
2020-03-15,20.0
2020-03-22,16.0
2020-03-29,15.0
2020-04-05,49.0
2020-04-12,34.0
2020-04-19,49.0
2020-04-26,22.0
2020-05-10,37.0
2020-05-17,50.0
2020-05-24,61.0
2020-05-31,31.0
2020-06-07,44.0
2020-06-14,35.0
2020-06-21,39.0
2020-07-05,26.0
2020-07-19,33.0
2020-08-02,26.0
2020-08-09,22.0
2020-08-16,26.0
2020-08-23,23.0
2020-08-30,26.0
2020-09-06,33.0
2020-09-13,24.0
2020-09-20,48.0
2020-09-27,23.0
2020-10-04,35.0
2020-11-01,34.0
2020-11-08,27.0
2020-11-15,50.0
2020-12-06,27.0
2020-12-13,52.0
2020-12-20,30.0
2020-12-27,57.0
2021-01-03,23.0
2021-01-10,42.0
2021-01-17,21.0
2021-01-24,35.0
2021-02-14,27.0
2021-02-28,18.0
2021-03-07,58.0
2021-03-14,32.0
2021-03-28,24.0
2021-04-04,27.0
2021-04-11,36.0
2021-04-18,36.0
2021-05-02,32.0
2021-05-16,63.0
2021-05-23,62.0
2021-05-30,19.0
2021-06-13,52.0
2021-07-25,67.0
2021-08-08,38.0
2021-08-22,21.0
2021-08-29,62.0
2021-09-19,70.0
2021-09-26,27.0
2021-10-03,18.0
2021-10-10,38.0
2021-11-07,51.0
2021-11-14,54.0
2021-11-21,45.0
2021-12-05,88.0
2021-12-12,21.0
2021-12-19,100.0
2021-12-26,51.0
2022-01-02,23.0
2022-01-09,31.0
2022-01-23,34.0
2022-02-06,74.0
2022-02-13,40.0
2022-02-20,21.0
2022-03-13,38.0
2022-03-20,18.0
2022-03-27,15.0
2022-04-03,22.0
2022-04-10,41.0
2022-05-01,12.0
2022-05-22,28.0
2022-05-29,49.0
2022-06-05,47.0
2022-06-19,37.0
2022-06-26,41.0
2022-07-03,20.0
2022-07-17,41.0
2022-07-24,30.0
2022-08-07,57.0
2022-08-14,59.0
2022-08-28,47.0
2022-09-04,26.0
2022-09-11,45.0
2022-09-18,17.0
2022-09-25,42.0
2022-10-09,19.0
2022-10-16,16.0
2022-10-30,30.0
2022-11-06,28.0
2022-11-13,25.0
2022-11-20,49.0
2022-11-27,24.0
2022-12-04,35.0
2022-12-18,27.0
2022-12-25,15.0
